,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
Dungeons & Raids,32.09,31.16,31.06,29.79,27.56,29.86,31.92,31.38,28.37,28.01,28.69,30.96
Outdoor Zones,50.6,48.73,42.17,41.36,40.69,41.92,41.98,43.24,40.72,42.04,43.72,41.38
World Drop,59.1,56.66,55.1,56.09,58.78,56.63,55.74,56.59,58.27,58.88,56.92,56.1
Group Finder,72.59,78.82,51.7,58.62,59.04,51.37,72.19,70.89,58.33,60.26,70.37,51.02
Achievements,48.12,47.26,43.42,44.1,43.83,43.54,43.95,43.35,42.71,43.3,42.64,42.65
Expansion Features,23.98,22.47,21.53,20.24,19.85,22.72,23.56,22.84,18.28,19.18,19.79,20.33
Event,18.13,16.27,12.82,14.63,15,14.81,16.75,15.01,12.81,15.6,13.2,12.07
Holiday,60.56,62.01,59.76,60.47,60.62,60.26,59.5,59.51,60.01,60.51,60.31,60.11
Flight Paths,0,0,0,0,0,0,0,0,0,0,0,0
Pet Battles,10.53,10.53,10.53,10.53,10.53,10.53,10.34,10.53,10.53,10.53,10.53,10.53
PvP,5.81,7.07,5.59,4.04,5.3,5.27,5.21,5.68,4.49,4.41,4.98,5.56
Crafted Item,31.23,33.19,33.4,31.69,30.85,32.85,31.96,32.59,31.36,31.49,33,34.84
Professions,65.33,65.83,60.51,53.47,67.16,64.64,29.94,55.9,32.64,68.25,38.73,4.71
Secrets,0,0,0,0,0,0,0,0,0,0,0,0
Selfie Filters,0,0,0,0,0,0,0,0,0,0,0,0
Item Sets,31.83,32.25,32.99,34.52,36.55,35.23,38.12,33.22,19.47,18.65,18.34,21.05
In-Game Shop,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96
Factions,52.12,55.9,54.84,55.21,55.9,54.78,52.12,51.52,55.97,55.9,55.97,54.84
Mounts,28.66,28.48,28.85,29.02,28.6,28.85,28.85,28.87,28.55,28.41,28.55,28.64
Pet Journal,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3
Toy Box,25.4,25.52,25.12,25.48,25.25,25.08,24.32,25.21,25.33,25.16,25,25.21
