,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
Dungeons & Raids,31.79,30.96,30.18,29.81,27.53,28.97,31.51,31.01,28.34,28.05,28.42,30.06
Outdoor Zones,50.8,49.01,42.05,41.51,40.83,41.88,41.88,43.22,40.86,41.3,43.93,41.46
World Drop,57.6,54.88,53.48,53.24,56.33,55.04,54.13,54.98,55.78,56.44,55.02,54.36
Group Finder,64.47,78.82,51.7,58.62,59.04,51.37,61.59,60.76,58.33,60.26,70.37,51.02
Achievements,48.11,47.19,43.17,44,43.75,43.45,43.81,43.27,42.62,42.63,42.56,42.56
Expansion Features,24.87,23.29,22.14,21.04,20.61,23.39,24.34,23.67,19.02,19.22,20.55,20.95
Event,20.32,18.63,15.46,17.24,17.52,17.26,19.15,17.55,15.55,16,15.77,14.77
Holiday,71.03,71.98,70.43,71.25,71.29,70.86,69.95,70.13,70.74,70.84,71.21,71.06
Flight Paths,0,0,0,0,0,0,0,0,0,0,0,0
Pet Battles,12,12,12,12,12,12,11.76,12,12,12,12,12
PvP,6.56,7.53,5.46,4.76,6.05,5.18,5.59,6.17,5.15,5.15,5.09,5.44
Crafted Item,30.66,32.92,31.73,32.93,30.45,31.2,32.04,33.33,30.95,31.09,32.72,33.09
Professions,65,65.67,60.58,53.27,66.67,64.53,28.38,55.97,32.64,32.64,38.73,4.71
Secrets,0,0,0,0,0,0,0,0,0,0,0,0
Selfie Filters,0,0,0,0,0,0,0,0,0,0,0,0
Item Sets,31.27,31.92,32.82,38.17,31.7,35.07,32.14,30.87,19.39,18.58,18.28,20.95
In-Game Shop,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96
Factions,51.83,55.62,54.55,54.94,55.62,54.49,51.83,51.22,55.7,55.7,55.7,54.55
Mounts,28.01,27.83,28.2,28.36,27.93,28.2,28.2,28.22,27.89,27.75,27.89,27.99
Pet Journal,14,14,14,14,14,14,14,14,14,14,14,14
Toy Box,25.08,25.2,24.79,25.16,24.92,24.75,24,24.88,25,24.88,24.67,24.88
