,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
Dungeons & Raids,32.51,31.48,31.96,30.07,27.82,30.74,32.35,31.8,28.64,28.29,29.02,31.87
Outdoor Zones,50.9,48.95,42.73,41.87,41.1,42.51,42.28,43.64,41.15,42.45,43.96,41.96
World Drop,62.11,60.54,60.62,61.13,62.99,62.08,59.12,60.66,62.43,62.81,61.32,61.77
Group Finder,75.63,78.82,53.06,58.62,59.04,52.05,76.16,74.68,58.33,60.26,70.37,51.7
Achievements,48.14,47.28,43.45,44.13,43.85,43.57,43.97,43.37,42.73,43.32,42.66,42.66
Expansion Features,23.98,22.47,21.59,20.24,19.85,22.75,23.56,22.84,18.28,19.18,19.79,20.36
Event,23.22,20.4,15.62,19.51,19.84,18.58,22.62,20.11,16.71,20.9,17.41,15.38
Holiday,60.68,62.13,59.88,60.59,60.74,60.38,59.62,59.63,60.13,60.63,60.44,60.23
Flight Paths,0,0,0,0,0,0,0,0,0,0,0,0
Pet Battles,10.53,10.53,10.53,10.53,10.53,10.53,10.34,10.53,10.53,10.53,10.53,10.53
PvP,6.35,7.4,5.97,4.04,5.62,5.64,5.21,6.21,4.49,4.76,5.28,5.95
Crafted Item,31.64,33.27,34.18,33.01,31.86,33.62,32.31,33.13,32.38,32.48,33.18,35.66
Professions,65.52,66.06,60.9,54.35,67.4,65.02,30.15,57.36,32.64,68.52,38.73,4.71
Secrets,0,0,0,0,0,0,0,0,0,0,0,0
Selfie Filters,0,0,0,0,0,0,0,0,0,0,0,0
Item Sets,31.68,32.25,33.76,38.39,36.55,29.55,38.12,35.46,19.47,18.65,18.34,21.05
In-Game Shop,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96
Factions,52.12,55.9,54.84,55.21,55.9,54.78,52.12,51.52,55.97,55.9,55.97,54.84
Mounts,29.31,29.12,29.51,29.68,29.25,29.51,29.51,29.53,29.2,29.05,29.2,29.29
Pet Journal,14.46,14.46,14.46,14.46,14.46,14.46,14.46,14.46,14.46,14.46,14.46,14.46
Toy Box,26.49,26.61,26.24,26.58,26.37,26.2,25.37,26.33,26.46,26.28,26.11,26.33
