,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
Dungeons & Raids,29.85,29.21,28.35,28.36,26.04,27.37,29.73,29.32,26.82,26.52,27.06,28.28
Outdoor Zones,45,43.82,36.98,36.25,35.77,37.12,37.47,38.5,35.4,35.94,39.1,36.23
World Drop,51.34,48.48,44.42,44.56,48.49,46.16,47.42,47.95,47.7,48.87,47.61,44.94
Group Finder,66.5,79.53,51.7,58.62,60.24,51.37,61.59,62.03,58.58,61.54,72.84,51.02
Achievements,47.6,46.61,42.76,43.63,43.36,43.08,43.43,42.89,42.24,42.25,42.18,42.18
Expansion Features,33.64,30.72,29.56,27.53,27.26,30.8,30.82,30.62,25.28,25.53,27.05,27.92
Event,18.44,17.43,14.38,16.14,16.45,16.38,17.48,15.51,14.43,14.88,14.24,13.68
Holiday,70.59,71.47,70.06,70.88,70.92,70.5,69.52,69.69,70.37,70.46,70.7,70.15
Flight Paths,0,0,0,0,0,0,0,0,0,0,0,0
Pet Battles,12,12,12,12,12,12,11.76,12,12,12,12,12
PvP,5.77,7.14,4.95,4.1,5.25,4.62,4.87,5.33,4.41,4.52,4.42,4.94
Crafted Item,27.3,30.27,22.43,28.59,26.63,21.96,28.26,29.73,26.76,27.03,30.07,23.33
Professions,64.03,65.22,59.98,52.71,66.5,64.07,23.25,54.72,32.64,32.64,38.24,4.71
Secrets,0,0,0,0,0,0,0,0,0,0,0,0
Selfie Filters,0,0,0,0,0,0,0,0,0,0,0,0
Item Sets,29.57,30.04,33.33,38.17,34.4,33.48,35.71,33.62,18.04,18.77,16.74,20.7
In-Game Shop,34.09,34.09,34.09,34.09,34.09,34.09,34.09,34.09,34.09,34.09,34.09,34.09
Factions,51.22,55,53.9,54.32,55,53.85,51.22,50.61,55.06,55.06,55.06,53.9
Mounts,27.5,27.32,27.68,27.84,27.41,27.68,27.68,27.7,27.36,27.23,27.36,27.47
Pet Journal,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.73
Toy Box,24.6,24.72,24.3,24.68,24.42,24.26,23.52,24.38,24.5,24.38,24.18,24.38
