,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
Dungeons & Raids,35.07,32.68,31.34,33.17,31.74,30.54,33.83,33.8,32.06,31.43,30.94,31.23
Outdoor Zones,47.15,44.6,39.95,39.12,38.86,39.28,41.09,41.76,39.36,39.65,40.1,38.96
World Drop,68.09,65.91,64.36,68.92,70.29,65.87,65.07,66.2,69.73,69.99,66.65,66.24
Group Finder,87.04,90.38,87.23,86.44,79.63,80.85,84.91,87.27,67.92,79.25,70.37,82.98
Achievements,50.38,49.7,47.8,46.45,48.68,48.54,48.33,48.06,47.3,47.65,46.3,46.84
Expansion Features,30.16,30.11,23.78,20.91,24.6,24.5,26.62,27.08,21.17,21.45,19.97,18.15
Holiday,51.76,52.76,51.9,53.85,52.33,51.2,52.38,53.14,53.32,52.56,52.71,51.58
World Event,44.93,43.33,50.91,46.34,47.37,53.57,50,48.98,41.07,44.26,44.44,50.91
Promotion,43.24,40.32,39.68,34.62,54.88,46.58,43.84,44.05,50.68,44.44,53.57,39.68
Pet Battles,6.33,6.33,6.33,6.33,6.33,6.33,6.25,6.33,6.33,5.06,6.33,6.33
PvP,11.98,10.93,9.12,7.87,11.4,8.65,11.14,11.9,10.93,8.99,7.61,8.52
Crafted Item,52.23,53.44,50.96,49.71,54.4,50.25,52.32,53.93,52.75,51.69,52.4,52.98
Professions,59.68,59.17,46.26,49.54,53.73,48.69,27.74,48,24.83,49.35,49.05,46.91
Secrets,0,0,5,0,0,5,0,0,0,0,0,5
Item Sets,81.12,82.76,84.09,82.11,83.8,77.27,76.92,86.96,57.5,82.3,53.52,81.82
In-Game Shop,38.33,38.33,38.33,38.33,38.33,38.33,38.33,38.33,38.33,38.33,38.33,38.33
Black Market Auction House,0,0,0,0,0,0,0,0,0,0,0,0
Factions,51.28,57.14,57.14,51.28,57.14,56.14,55.87,56.18,57.8,52.36,52.36,50.79
Flight Paths,0,0,0,0,0,0,0,0,0,0,0,0
Battle Pets,17.24,17.24,17.32,17.08,17.26,17.31,17.35,17.32,17.32,17.21,17.09,17.11
Illusions,24,24,24,28.3,24,24,23.53,24,24,23.53,25.86,28.3
Mounts,27.46,27.05,27.43,27.11,27.23,27.38,27.21,26.96,26.88,27.13,26.75,26.79
