,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
Dungeons & Raids,30.84,30.21,29.53,28.98,26.7,28.41,30.61,30.17,27.43,27.16,27.83,29.4
Outdoor Zones,49.59,48.24,40.81,40.64,39.89,40.69,40.81,42.14,39.84,40.4,43.08,40.2
World Drop,54.02,51.77,47.83,48.26,51.59,49.42,50.16,50.87,50.99,51.97,51,48.45
Group Finder,66.5,80,53.06,58.62,60.24,52.74,61.59,62.03,58.33,61.54,72.84,52.38
Achievements,47.96,47.05,43.02,55.91,43.63,43.33,43.69,43.15,42.5,42.51,42.43,42.44
Expansion Features,24.67,23.01,21.83,20.76,20.36,23.09,24.06,23.38,18.75,18.93,20.27,20.65
Event,18.7,17.56,14.49,16.26,16.72,16.49,17.74,15.78,14.55,15,14.51,13.8
Holiday,70.89,71.77,70.36,71.18,71.22,70.79,69.81,69.99,70.67,70.76,71,70.99
Flight Paths,0,0,0,0,0,0,0,0,0,0,0,0
Pet Battles,12,12,12,12,12,12,11.76,12,12,12,12,12
PvP,6.04,7.21,5,4.15,5.29,4.66,5.11,5.37,4.45,4.55,4.45,4.98
Crafted Item,27.7,30.71,23.8,29.92,27.74,23.32,28.88,30.09,28.19,28.42,30.44,24.77
Professions,64.53,65.63,60.41,53.03,66.67,64.4,25.89,55.56,32.64,32.64,38.73,4.71
Secrets,0,0,0,0,0,0,0,0,0,0,0,0
Selfie Filters,0,0,0,0,0,0,0,0,0,0,0,0
Item Sets,31.27,37.17,33.33,38.17,36.26,35.52,37.95,35.33,19.83,18.77,18.28,20.95
In-Game Shop,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96
Factions,51.22,55,53.9,54.32,55,53.85,51.22,50.61,55.06,55.06,55.06,53.9
Mounts,28.01,27.83,28.2,28.36,27.93,28.2,28.2,28.22,27.89,27.75,27.89,27.99
Pet Journal,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78
Toy Box,24.92,25.04,24.63,25,24.75,24.59,23.84,24.71,24.83,24.71,24.51,24.71
