,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
Dungeons & Raids,31.91,30.99,30.78,29.57,27.31,29.58,31.75,31.2,28.17,27.81,28.52,30.68
Outdoor Zones,50.37,48.63,41.91,41.25,40.51,41.67,41.73,43,40.53,40.91,43.55,41.19
World Drop,57.94,55.07,53.75,53.24,56.43,55.3,54.41,55.36,55.79,56.49,55.37,54.64
Group Finder,64.47,78.82,51.7,58.62,59.04,51.37,61.59,60.76,58.33,60.26,70.37,51.02
Achievements,48.09,47.22,43.29,44.07,43.8,43.51,43.91,43.33,42.68,42.69,42.62,42.62
Expansion Features,23.66,22.11,20.99,19.85,19.49,22.23,23.2,22.48,17.9,18.08,19.43,19.81
Event,18.13,16.27,12.82,14.63,15,14.81,16.75,15.01,12.81,13.29,13.2,12.07
Holiday,60.56,62.01,59.76,60.47,60.62,60.26,59.5,59.51,60.01,59.99,60.31,60.11
Flight Paths,0,0,0,0,0,0,0,0,0,0,0,0
Pet Battles,10.53,10.53,10.53,10.53,10.53,10.53,10.34,10.53,10.53,10.53,10.53,10.53
PvP,5.81,7.07,4.97,4.04,5.3,4.7,5.21,5.68,4.49,4.41,4.98,4.95
Crafted Item,30.74,33.01,32.22,31.26,30.45,31.68,31.43,32.06,30.95,31.09,32.82,33.61
Professions,65.19,65.83,60.51,53.47,67.16,64.64,29.94,55.9,32.64,32.64,38.73,4.71
Secrets,0,0,0,0,0,0,0,0,0,0,0,0
Selfie Filters,0,0,0,0,0,0,0,0,0,0,0,0
Item Sets,27.8,29.41,32.99,34.52,36.55,35.23,38.12,35.46,19.47,18.65,18.34,21.05
In-Game Shop,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96
Factions,51.52,55.28,54.19,54.6,55.28,54.14,51.52,50.91,55.35,55.35,55.35,54.19
Mounts,28.5,28.32,28.69,28.85,28.43,28.69,28.69,28.71,28.38,28.24,28.38,28.48
Pet Journal,14.15,14.15,14.15,14.15,14.15,14.15,14.15,14.15,14.15,14.15,14.15,14.15
Toy Box,25.4,25.52,25.12,25.48,25.25,25.08,24.32,25.21,25.33,25.21,25,25.21
