,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
Dungeons & Raids,33.9,32.03,30.34,32.15,31.16,29.59,32.96,32.79,31.45,30.82,30.32,30.39
Outdoor Zones,45.62,43.83,38.56,37.19,37.56,37.85,39.88,39.91,38,38.26,39.24,38.34
World Drop,66.11,64.06,61.74,66.37,67.98,63.2,63.3,63.53,67.52,67.7,64.48,65.29
Group Finder,87.04,90.38,87.23,87.72,80.77,80.85,84.91,87.27,68.63,80.39,70.37,82.98
Achievements,49.47,49.14,46.97,45.68,47.83,47.68,47.51,47.2,46.42,46.77,45.41,45.98
Expansion Features,29.27,29.06,22.94,19.63,23.71,23.56,25.73,26.32,20.31,20.61,19.25,17.54
Holiday,51.99,53.19,51.71,54.15,52.56,51.24,52.66,53.28,53.24,52.66,52.56,51.45
World Event,44.93,43.33,50.91,46.34,47.37,53.57,50,48.98,41.07,44.26,44.44,50.91
Promotion,43.24,40.32,39.68,34.62,54.88,46.58,43.84,44.05,50.68,44.44,53.57,39.68
Pet Battles,6.33,6.33,6.33,6.33,6.33,6.33,6.25,6.33,6.33,5.06,6.33,6.33
PvP,9.61,10.83,9.12,7.86,11.4,8.65,9.34,10.35,10.92,8.99,7.61,8.52
Crafted Item,48.63,50.14,49.04,48.78,53.26,48.24,48.71,50.43,51.37,50.36,49.81,51.01
Professions,58.68,58.36,31.08,35.32,48.14,36.79,24.27,29.3,6.71,43.52,35.55,48.14
Secrets,0,0,4.55,0,0,4.55,0,0,0,0,0,4.55
Item Sets,80,81.36,84.09,80.41,82.64,77.27,76.92,86.96,56.56,80.87,52.78,81.82
In-Game Shop,37.29,37.29,37.29,37.29,37.29,37.29,37.29,37.29,37.29,37.29,37.29,37.29
Black Market Auction House,0,0,0,0,0,0,0,0,0,0,0,0
Factions,50.77,56.57,56.55,50.77,56.57,55.56,55.31,55.62,57.23,51.83,51.83,50.26
Battle Pets,16.19,16.19,16.26,16.03,16.2,16.25,16.28,16.26,16.26,16.15,16.04,16.03
Flight Paths,0,0,0,0,0,0,0,0,0,0,0,0
Illusions,18,18,18,22.64,18,18,17.65,18,18,17.65,20.69,22.64
Mounts,27.38,27.1,27.35,26.76,27.27,27.43,26.96,27.01,26.76,27.05,26.53,26.6
