,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
Dungeons & Raids,30.45,29.73,29.16,28.74,26.51,28.09,30.28,29.86,27.2,26.93,27.52,29.02
Outdoor Zones,45.55,44.44,37.67,37.51,36.89,37.77,38.03,39.08,36.6,37.11,39.7,36.95
World Drop,52.87,50.18,45.91,46.33,49.91,47.54,49.02,49.64,49.23,50.33,49.31,46.53
Group Finder,66.5,79.53,53.06,58.62,60.24,52.74,61.59,62.03,58.58,61.54,72.84,52.38
Achievements,47.89,46.92,43,43.86,43.59,43.31,43.66,43.12,42.48,42.49,42.41,42.42
Expansion Features,33.87,30.8,29.65,27.62,27.38,30.89,30.94,30.74,25.36,25.61,27.17,28.01
Event,18.58,17.43,14.38,16.14,16.61,16.38,17.64,15.67,14.43,14.88,14.4,13.68
Holiday,70.59,71.47,70.06,70.88,70.92,70.5,69.52,69.69,70.37,70.46,70.7,70.15
Flight Paths,0,0,0,0,0,0,0,0,0,0,0,0
Pet Battles,12,12,12,12,12,12,11.76,12,12,12,12,12
PvP,5.99,7.14,4.95,4.1,5.25,4.62,5.06,5.33,4.41,4.52,4.42,4.94
Crafted Item,27.62,30.63,23.31,29.81,27.64,22.84,28.71,30.09,28.09,28.22,30.44,24.25
Professions,64.13,65.22,60.32,52.95,66.63,64.32,23.25,55.49,32.64,32.64,38.73,4.71
Secrets,0,0,0,0,0,0,0,0,0,0,0,0
Selfie Filters,0,0,0,0,0,0,0,0,0,0,0,0
Item Sets,31.27,31.85,33.33,38.17,36.26,35.52,37.95,35.33,20,18.77,18.28,35.66
In-Game Shop,34.09,34.09,34.09,34.09,34.09,34.09,34.09,34.09,34.09,34.09,34.09,34.09
Factions,51.22,55,53.9,54.32,55,53.85,51.22,50.61,55.06,55.06,55.06,53.9
Mounts,27.5,27.32,27.68,27.84,27.41,27.68,27.68,27.7,27.36,27.23,27.36,27.47
Pet Journal,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.47
Toy Box,24.92,25.04,24.63,25,24.75,24.59,23.84,24.71,24.83,24.71,24.51,24.71
