,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
Classic,70.98,66.3,69.05,73.73,71.53,67.84,67.63,62.52,74.02,69.02,65.01,70.41
Molten Core,81.33,68.75,68.33,75.68,82.69,73.58,74.07,67.69,80,70.91,62.96,63.64
Onyxia's Lair,68.42,65.71,75,70,92.86,72.73,68.75,52.94,69.23,64.29,69.23,66.67
Blackwing Lair,58.49,63.64,60.98,60.87,69.23,60.98,61.29,47.62,58.62,46.15,59.09,54.76
Ruins of Ahn'Qiraj,62.22,45.45,41.03,43.75,32.35,41.46,47.83,39.53,47.37,48.57,42.42,50
Temple of Ahn'Qiraj,53.49,34.72,38.27,60,41.89,34.15,54.17,32.56,62.5,37.33,38.89,40.28
Blackfathom Deeps,85.19,69.23,95,75,88.89,95,76.47,82.35,76.47,83.33,69.57,95
Blackrock Depths,56.82,44.78,36.84,65.91,62.96,33.33,48.28,44.26,64,62.26,47.54,42.86
Deadmines,64,65,70.73,62.86,55.26,68.42,64.44,65.22,58.14,59.57,60,72.5
Dire Maul,85.25,83.93,100,73.91,73.58,100,84.44,82.98,77.78,77.19,80.39,100
Gnomeregan,60,47.06,46.15,72.73,78.57,50,30.3,56.25,71.43,81.25,52.94,46.15
Lower Blackrock Spire,50,37.5,54.55,55,59.09,52.17,52,51.85,54.55,52,33.33,60
Maraudon,72.73,75,100,78.57,77.78,100,66.67,64.71,80,84.21,68.18,100
Ragefire Chasm,100,100,100,100,100,100,100,100,100,100,100,100
Razorfen Downs,73.68,85.71,100,100,100,100,86.67,76.47,100,93.33,76.92,100
Razorfen Kraul,87.88,87.88,91.67,88.24,86.96,95.45,85.71,86.36,90.48,88.46,89.29,91.67
Scarlet Halls,85.71,84.62,77.78,80,81.82,71.43,80,81.82,80,84.62,84.62,75
Scarlet Monastery,73.91,69.23,85.71,73.33,63.16,78.57,64.71,66.67,66.67,68.42,64,85.71
Scholomance,93.94,92.31,84,88,88.46,84,93.33,90.91,88.46,88,92.31,87.5
Shadowfang Keep,85.11,87.18,90.32,85.19,82.86,90.62,86.84,80.95,84.38,81.82,85,87.1
Stratholme,67.19,72.34,71.15,78.57,81.63,72.22,61.7,62,82.98,84,72.34,73.47
The Stockade,100,100,100,100,100,100,100,100,100,100,100,100
The Temple of Atal'hakkar,60,64,80,92.31,73.33,73.68,63.16,60,83.33,83.33,50,80
Uldaman,58.06,59.26,50,62.5,72.73,55.56,54.55,54.17,66.67,62.5,66.67,50
Wailing Caverns,100,100,100,100,100,100,100,100,100,100,100,100
Zul'Farrak,96.43,87.5,100,84.62,83.33,100,95,95.24,85,87.5,88.89,100
Burning Crusade,50.11,50.38,38.36,50.79,49.35,36.32,47.31,47.17,51.06,48.89,46.56,41.48
World Bosses,40,33.33,37.5,40,50,42.86,42.86,42.86,50,28.57,42.86,37.5
Karazhan,45.33,39.39,30.14,44.23,39.34,29.73,45.76,41.54,41.38,39.06,34.85,33.33
Gruul's Lair,50,55.56,42.86,50,37.5,33.33,71.43,50,50,37.5,50,42.86
Magtheridon's Lair,66.67,71.43,57.14,75,57.14,57.14,66.67,62.5,66.67,60,85.71,57.14
Serpentshrine Cavern,28.12,32.26,14.81,35.29,43.48,18.52,22.73,20,40,33.33,28,17.39
The Eye,31.25,36.11,24.14,47.37,41.67,23.33,30,27.27,45.45,37.5,29.63,28
The Battle for Mount Hyjal,22.92,28.57,16.67,33.33,15.91,12.5,11.48,15.91,28.57,22.22,18.75,17.65
Black Temple,28.17,52.54,27.08,30,26.67,24,27.45,26.92,26.09,28.85,32.65,31.71
Sunwell Plateau,15.62,29.31,14.89,19.44,11.54,10.42,15.56,15.56,16.28,16.98,27.08,15.91
Auchenai Crypts,52,45.83,39.13,42.86,31.82,30.43,52.63,50,34.62,39.13,37.5,40.91
Hellfire Ramparts,100,60,81.82,73.91,82.86,81.82,100,100,80.65,79.31,58.97,81.82
Magisters' Terrace,33.33,44.44,33.33,32.43,35.9,33.33,32,30.77,37.21,32.56,43.9,39.02
Mana-Tombs,76.74,57.89,64.52,78.57,86.67,59.26,88.46,75.76,86.67,75,64.71,66.67
Old Hillsbrad Foothills,40.54,51.35,43.33,41.94,45.95,41.67,37.14,36.11,42.86,43.59,51.22,44.83
Sethekk Halls,57.69,48,34.78,50,54.55,32,50,54.55,52.38,45,41.67,34.78
Shadow Labyrinth,81.25,80,64.52,93.33,85.71,60.61,82.61,77.78,85.71,86.96,64,68.97
The Arcatraz,48.39,61.54,30,65,65.38,30,27.27,26.09,65,73.08,53.85,34.62
The Black Morass,38.46,62.96,36.36,60,60,33.33,30,30,58.33,63.64,66.67,36.36
The Blood Furnace,93.75,72.73,36.36,57.14,58.33,36.36,92.86,92.86,64.29,68.75,66.67,36.36
The Botanica,84.21,87.5,55.56,70,71.43,52.94,100,91.67,69.23,75,80,62.5
The Mechanar,64.29,61.54,52.17,46.15,65,55,64.29,62.07,59.26,51.85,68.42,60
