,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
Classic,61.94,59.95,58.42,63.12,64.25,57.54,57.74,56.4,62.84,61.45,57.54,58.59
Molten Core,83.1,73.33,76.79,87.88,84.31,78.85,80,77.05,88.89,76.47,64.15,68.63
Onyxia's Lair,68.42,66.67,75,70,92.86,72.73,68.75,52.94,69.23,64.29,69.23,66.67
Blackwing Lair,54.72,61.36,56.1,56.52,69.23,58.54,54.84,42.86,55.17,43.59,59.09,48.78
Ruins of Ahn'Qiraj,44.12,31.82,35.71,26.67,26.09,33.33,40.91,34.38,22.22,33.33,27.27,42.86
Temple of Ahn'Qiraj,27.42,33.33,31.58,39.47,30,29.31,33.33,25.81,33.33,29.41,35.42,35.42
Blackfathom Deeps,77.78,65.38,71.43,75,83.33,71.43,70.59,76.47,76.47,78.95,65.22,71.43
Blackrock Depths,54.55,44.44,41.46,46.67,46.48,38.27,44.59,44.87,47.06,45.07,43.21,43.84
Deadmines,50,52.94,68.42,53.33,47.06,70.59,52.63,50,50,50,47.06,72.22
Dire Maul,78.08,77.94,64.81,64.29,62.71,65.38,73.58,74.55,67.19,69.57,74.58,65.38
Gnomeregan,55.56,43.75,41.67,66.67,75,46.15,21.88,50,66.67,78.57,46.67,41.67
Lower Blackrock Spire,44.12,34.38,50,40,36.36,47.83,48,48.15,36.36,40,26.67,55
Maraudon,59.09,55,40,57.14,61.11,46.67,53.33,52.94,60,63.16,54.55,40
Ragefire Chasm,100,100,100,100,100,100,100,100,100,100,100,100
Razorfen Downs,63.16,78.57,69.23,100,92.31,61.54,73.33,64.71,92.31,86.67,69.23,66.67
Razorfen Kraul,75.76,75.76,70.83,88.24,78.26,68.18,71.43,72.73,80.95,84.62,75,70.83
Scarlet Halls,76.92,83.33,87.5,77.78,90,83.33,77.78,70,77.78,83.33,75,85.71
Scarlet Monastery,63.64,61.54,78.57,71.43,70.59,76.92,56.25,52.94,68.42,70.59,54.17,78.57
Scholomance,83.33,70,70,54.55,54.55,70,81.82,84.62,54.55,54.55,70,66.67
Shadowfang Keep,59.26,65.22,60,73.33,68.42,56.25,59.09,56.52,68.42,63.16,56.52,60
Stratholme,54.69,59.57,55.77,66.67,75.51,59.26,51.06,54,72.34,70,63.83,55.1
The Stockade,50,100,100,100,100,100,40,33.33,100,100,88.89,100
The Temple of Atal'hakkar,58.33,62.5,73.68,91.67,71.43,66.67,61.11,57.89,82.35,82.35,47.37,73.68
Uldaman,54.41,40.68,45,46.34,52,47.46,47.92,51.02,50,50,47.17,44.83
Wailing Caverns,100,100,100,100,100,100,100,100,100,100,100,100
Zul'Farrak,92.86,82.61,80,76.92,77.78,77.78,89.47,90,80,81.25,83.33,80
Burning Crusade,39.98,43.95,33.56,40.03,32.22,29.48,40.35,35.48,39.58,35.28,35.4,33.64
World Boss,30,33.33,37.5,40,50,42.86,28.57,28.57,50,28.57,42.86,37.5
Karazhan,31.25,37.68,30.26,37.25,27.78,28.4,36.21,31.58,35.09,31.34,27.27,26.76
Gruul's Lair,43.75,53.85,27.27,50,15,14.29,71.43,22.73,50,25,22.73,23.08
Magtheridon's Lair,50,66.67,44.44,75,30.77,36.36,66.67,35.71,66.67,42.86,46.15,40
Serpentshire Cavern,12.2,21.62,6.06,11.76,12.2,5.13,13.64,6.98,10,6.67,4.65,6.25
The Eye,21.05,27.5,18.18,31.58,16.67,15.79,30,17.65,27.27,21.43,15.38,19.35
The Battle for Mount Hyjal,10.34,6,6.82,13.04,5,5.77,8,6.67,11.11,6.82,4.69,6.82
Black Temple,27.27,43.56,23.26,30,18.75,18.95,24.71,20,22.78,26.37,25.24,24.39
Sunwell Plateau,12.35,24.14,11.86,19.44,6.38,6.94,15.56,8.64,16.28,10.98,14.44,11.48
Auchenai Crypts,25,30.43,36.36,25,23.81,36.36,27.78,31.58,20,22.73,30.43,33.33
Hellfire Ramparts,100,60,81.82,73.91,82.86,81.82,100,100,80.65,79.31,58.97,81.82
Magisters' Terrace,28.75,44.93,37.5,30.91,29.82,33.33,26.32,28.21,31.75,26.98,38.33,38.33
Mana-Tombs,66.13,58.18,61.36,82.05,88.37,55.26,70.27,65.22,88.37,76.09,65.31,60.47
Old Hillsbrad Foothills,24.32,40.54,30,19.35,21.62,25,20,19.44,17.14,20.51,36.59,31.03
Sethekk Halls,52,47.83,31.82,33.33,38.1,29.17,47.83,52.38,40,26.32,40.91,31.82
Shadow Labyrinth,67.74,75,66.67,71.43,70,62.5,72.73,69.23,70,63.64,66.67,71.43
The Arcatraz,35.71,48.57,23.08,42.31,40,23.08,17.24,20,42.31,48.57,40,22.86
The Black Morass,36.84,61.54,34.38,27.59,27.59,30.77,27.59,27.59,31.43,34.38,65.38,34.38
The Blood Furance,93.75,72.73,36.36,35.71,33.33,36.36,92.86,92.86,42.86,50,66.67,36.36
The Botanica,84.21,87.5,50,60,64.29,47.06,100,91.67,61.54,66.67,80,56.25
The Mechanar,64.29,61.54,52.17,46.15,65,55,64.29,62.07,59.26,51.85,68.42,60
The Shattered Halls,53.49,86.11,55.56,72,61.76,51.28,35.48,37.5,64.29,70.59,71.79,57.58
The Slave Pen,45.83,30.61,33.33,48.65,34.88,27.08,56.41,56.41,41.86,34.62,26.09,33.33
The Steamvault,30,50,23.81,50,42.86,23.81,23.53,33.33,42.86,50,50,22.22
The Underbog,33.33,18.75,21.43,38.46,31.25,21.43,38.46,42.86,35.71,33.33,23.53,21.43
Wrath of the Lich King,42.04,43.72,41.85,49.91,41.34,40.04,43.83,42.86,45.11,42.66,40.85,42.35
Vault of Archavon,15,11.27,10.4,20.75,13.95,9.32,12,14.53,11.21,9.79,7.91,8.87
Naxxramas,42.72,46.88,44.26,55.25,48.35,42.22,46.44,46.79,49.83,47.54,41.69,44.26
The Obsidian Sanctum,78.05,81.58,79.41,82.86,76.19,75,74.36,70.73,80.56,78.38,71.43,79.41
The Eye of Eternity,25,33.33,26.09,35,31.82,26.09,27.27,26.09,30.43,33.33,33.33,26.09
Ulduar,28.95,28.19,25.39,34.44,25.82,24.17,30.85,30.05,29.69,26.32,25.56,26.87
Trial of the Crusader,41.67,41.98,34.29,41.38,40.44,35.92,40.91,41.88,43.18,40.14,47.37,33.82
Icecrown Citadel,28.63,34.12,37.06,43.29,32.62,33.58,28.26,26.79,39.71,36.25,28.95,37.88
The Ruby Sanctum,30,50,50,37.5,37.5,50,30,30,37.5,37.5,50,50
Ahn'kahet: The Old Kingdom,77.78,75.47,69.39,83.78,79.07,69.39,81.13,82.69,85,75.56,77.08,69.39
Azjol-Nerub,69.44,81.48,66.67,75,61.29,62.5,83.33,78.12,67.74,67.74,71.43,66.67
Drak'Tharon Keep,73.91,73.68,68.75,58.82,52.63,68.75,76.19,77.27,57.89,61.11,75,68.75
Gundrak,81.25,86.79,86,81.13,83.05,86.79,89.09,89.09,83.05,77.97,92.45,86
Halls of Lightning,76.27,69.09,60.34,76.19,76.6,62.5,78.85,82,72.34,73.91,74.51,60.34
Halls of Reflection,20,18.37,21.43,20.93,21.43,22.5,23.4,22.45,18.37,17.31,20.93,21.43
Halls of Stone,77.5,85.29,89.29,84,78.12,89.29,77.14,77.14,84,83.33,85.29,89.29
Pit of Saron,41.27,31.67,32.61,35.71,37.5,34.09,37.21,41.3,36.36,38.46,33.9,32.61
The Culling of Stratholme,66.04,56.1,62.5,61.76,61.54,64.71,76.19,73.91,57.5,58.54,62.79,62.5
The Forge of Souls,15.22,20.59,22.58,29.17,22.58,22.58,19.44,19.44,23.33,22.58,20.59,22.58
The Nexus,78.12,68.52,76.09,82.98,79.25,71.43,80,81.03,78,79.25,66.67,76.09
The Oculus,58.93,70.83,66,78.38,75.61,68.75,62,64.58,67.44,79.49,73.91,66
The Violet Hold,72.13,81.25,77.5,74.29,68.29,73.81,74.51,76.36,65.12,66.67,86,77.5
Trial of Champion,23.21,29.07,24.39,23.26,21.74,24.39,24.53,24.53,21.74,20.83,29.27,24.39
Utgarde Keep,70.59,76.47,70,66.67,70.97,75,72,75,68.97,66.67,80,70
