,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
Classic,80.84,70.57,72.09,76.74,75.39,70.8,75.15,71.12,77.48,72.96,70.23,71.71
Molten Core,86.49,71.43,72.88,80.56,82.69,77.36,77.36,75,82.05,74.07,62.96,69.64
Onyxia's Lair,78.95,77.14,83.33,80,92.86,72.73,75,58.82,76.92,78.57,92.31,75
Blackwing Lair,71.7,65.91,65.85,60.87,76.92,68.29,77.42,59.52,65.52,48.72,68.18,58.54
Ruins of Ahn'Qiraj,80,54.55,48.72,56.25,38.24,48.78,69.57,53.49,57.89,57.14,48.48,48.72
Temple of Ahn'Qiraj,82.56,40.28,40.74,62.5,45.95,37.8,75,46.51,68.75,42.67,43.06,40.74
Blackfathom Deeps,85.19,69.23,95,75,88.89,95,76.47,82.35,76.47,83.33,69.57,95
Blackrock Depths,80.68,58.21,49.12,73.33,76.36,42.86,68.97,68.85,72.55,72.22,65.57,52.83
Deadmines,64,65,70.73,62.86,55.26,68.42,64.44,65.22,58.14,59.57,60,72.5
Dire Maul,90.16,85.71,100,80.43,81.13,100,91.11,89.36,83.33,82.46,82.35,100
Gnomeregan,60,47.06,46.15,72.73,78.57,50,30.3,56.25,71.43,81.25,52.94,46.15
Lower Blackrock Spire,58.82,46.88,59.09,60,63.64,56.52,60,62.96,54.55,56,40,61.9
Maraudon,72.73,75,100,78.57,77.78,100,66.67,64.71,80,84.21,68.18,100
Ragefire Chasm,100,100,100,100,100,100,100,100,100,100,100,100
Razorfen Downs,84.21,85.71,100,100,100,100,86.67,88.24,100,93.33,92.31,100
Razorfen Kraul,87.88,87.88,91.67,88.24,86.96,95.45,85.71,86.36,90.48,88.46,89.29,91.67
Scarlet Halls,85.71,84.62,77.78,80,81.82,71.43,80,81.82,80,84.62,84.62,75
Scarlet Monastery,78.26,73.08,92.86,80,63.16,78.57,70.59,72.22,71.43,73.68,64,92.86
Scholomance,96.97,92.31,84,88,88.46,84,96.67,93.94,88.46,88,92.31,84
Shadowfang Keep,91.49,89.74,90.32,85.19,91.43,90.62,89.47,90.48,84.38,84.85,92.5,90.32
Stratholme,70.31,72.34,71.15,78.57,81.63,72.22,61.7,62,82.98,84,72.34,72.55
The Stockade,100,100,100,100,100,100,100,100,100,100,100,100
The Temple of Atal'hakkar,64,72,80,92.31,80,78.95,68.42,65,88.89,88.89,65,80
Uldaman,83.87,70.37,55.56,68.75,81.82,66.67,81.82,83.33,76.19,75,77.78,55.56
Wailing Caverns,100,100,100,100,100,100,100,100,100,100,100,100
Zul'Farrak,100,91.67,100,84.62,88.89,100,100,100,90,87.5,88.89,100
Burning Crusade,62.7,56.28,43.07,56.92,56.69,41.52,56.23,57.1,58.64,55.97,53.44,45.51
World Bosses,40,33.33,37.5,40,50,42.86,42.86,42.86,50,28.57,42.86,37.5
Karazhan,57.33,45.45,32.88,48.08,40.98,31.08,55.93,50.77,46.55,43.75,37.88,34.29
Gruul's Lair,90,55.56,42.86,50,37.5,33.33,100,80,50,37.5,60,42.86
Magtheridon's Lair,88.89,71.43,57.14,75,57.14,57.14,83.33,75,66.67,60,85.71,57.14
Serpentshrine Cavern,59.38,41.94,22.22,47.06,47.83,22.22,54.55,48,50,41.67,36,26.09
The Eye,75,52.78,34.48,68.42,58.33,33.33,75,68.18,68.18,54.17,48.15,40
The Battle for Mount Hyjal,62.5,57.14,36.11,50,31.82,30,22.95,36.36,53.57,41.67,41.67,35.29
Black Temple,53.52,59.32,33.33,32.5,37.78,34,47.06,50,36.96,34.62,48.98,39.02
Sunwell Plateau,48.44,41.38,25.53,30.56,30.77,25,37.78,40,32.56,32.08,50,27.91
Auchenai Crypts,60,54.17,52.17,61.9,54.55,43.48,57.89,60,53.85,56.52,45.83,52.17
Hellfire Ramparts,100,60,81.82,82.61,88.57,81.82,100,100,87.1,86.21,58.97,81.82
Magisters' Terrace,35.19,51.11,35.42,35.14,38.46,35.42,36,32.69,39.53,34.88,51.22,36.96
Mana-Tombs,81.4,63.16,67.74,89.29,96.67,62.96,88.46,78.79,96.67,90.62,64.71,67.74
Old Hillsbrad Foothills,40.54,51.35,46.67,41.94,45.95,44.44,37.14,38.89,42.86,43.59,51.22,46.67
Sethekk Halls,57.69,48,34.78,56.25,59.09,32,50,54.55,57.14,50,41.67,34.78
Shadow Labyrinth,81.25,80,64.52,100,90.48,60.61,82.61,77.78,90.48,91.3,64,68.97
The Arcatraz,61.29,69.23,36.67,75,73.08,36.67,45.45,43.48,75,80.77,61.54,40.74
The Black Morass,38.46,62.96,36.36,60,60,33.33,30,30,58.33,63.64,66.67,36.36
The Blood Furnace,93.75,72.73,36.36,57.14,58.33,36.36,92.86,92.86,64.29,68.75,66.67,36.36
The Botanica,84.21,87.5,55.56,70,71.43,52.94,100,91.67,69.23,75,80,62.5
The Mechanar,64.29,61.54,52.17,46.15,65,55,64.29,62.07,59.26,51.85,68.42,60
The Shattered Halls,68.97,84.62,57.69,88.89,91.67,60.71,57.14,59.09,90,91.67,85.71,62.5
The Slave Pens,65.71,42.86,47.06,70.37,67.74,47.06,72.41,72.41,67.74,62.16,45.45,47.06
The Steamvault,60,66.67,38.1,66.67,71.43,38.1,47.06,53.33,71.43,62.5,70,42.11
The Underbog,44.44,31.25,42.86,61.54,62.5,42.86,38.46,42.86,57.14,66.67,35.29,42.86
Wrath of the Lich King,45.86,46.82,46.49,53.77,45.32,44.92,47.97,47.14,49.18,45.73,44.37,46.79
Vault of Archavon,22.3,19.18,19.38,43.4,19.82,15.98,20.3,19.9,22.43,17.69,12.78,17.97
Naxxramas,44.25,46.88,45.25,55.25,50.16,45.18,48.96,48.84,49.83,47.54,46.03,45.25
The Obsidian Sanctum,79.49,81.58,79.41,82.86,78.95,79.41,78.38,78.38,80.56,78.38,78.95,79.41
The Eye of Eternity,25,33.33,34.78,35,31.82,34.78,27.27,26.09,30.43,33.33,33.33,34.78
Ulduar,37.25,38.01,34.55,42.93,35.39,33.47,40.16,39.61,38.6,35.1,35.48,35.71
Trial of the Crusader,44.79,43.21,40,43.1,41.91,41.55,44.81,46.3,44.7,41.55,48.68,39.71
Icecrown Citadel,28.9,33.72,36.56,43.29,34.47,34.41,28.57,27.93,39.71,35.28,30.52,37.36
The Ruby Sanctum,30,50,50,37.5,37.5,50,30,30,37.5,37.5,50,50
Ahn'kahet: The Old Kingdom,84.78,84.62,83.78,93.1,87.88,83.78,87.5,89.74,93.55,85.29,86.11,83.78
Azjol-Nerub,75,81.48,69.7,82.14,67.74,65.62,90,84.38,74.19,74.19,71.43,69.7
Drak'Tharon Keep,73.91,73.68,87.5,64.71,57.89,87.5,76.19,77.27,63.16,66.67,75,87.5
Gundrak,83.67,87.8,87.18,83.33,84.78,87.8,90.7,90.7,84.78,80.43,92.68,87.18
Halls of Lightning,76,68.09,64,75,76.92,66.67,77.78,81.4,72.5,71.79,74.42,64
Halls of Reflection,34.55,34.69,30.95,30.23,26.19,22.5,40.43,38.78,30.61,25,20.93,30.95
Halls of Stone,77.5,85.29,89.29,84,78.12,89.29,77.14,77.14,84,83.33,85.29,89.29
Pit of Saron,59.26,40,41.03,66.67,60.61,43.24,63.16,65,64.29,60.61,41.67,41.03
The Culling of Stratholme,69.81,56.1,75,64.71,64.1,76.47,80.95,78.26,60,60.98,62.79,75
The Forge of Souls,28.26,26.47,22.58,37.5,22.58,22.58,36.11,36.11,30,29.03,26.47,22.58
The Nexus,87.23,75.61,82.86,89.19,85.37,78.38,90.24,90.7,84.62,85.37,73.33,82.86
The Oculus,62.5,75,70,78.38,80.49,72.92,62,64.58,72.09,79.49,78.26,70
The Violet Hold,85.25,89.58,87.5,80,82.93,83.33,86.27,87.27,79.07,71.79,90,87.5
Trial of the Champion,25.64,27.47,22.99,21.98,20.62,22.99,27.03,27.03,20.62,19.8,27.59,22.99
Utgarde Keep,70.59,76.47,76.67,77.78,80.65,82.14,72,75,79.31,75.76,80,76.67
Utgarde Pinnacle,84.21,80,73.81,80,80,75,89.8,89.8,76.19,78.26,82.05,73.81
Cataclysm,28.41,31.33,27.06,34.75,29.25,25.86,28.7,27.69,30.55,29.4,29.21,27.36
World Bosses,50,60,40,85.71,77.78,40,60,54.55,87.5,75,50,40
Baradin Hold,13.73,21.95,13.73,100,19.39,10,9.8,11.96,18.18,17.07,12.24,11.76
Blackwing Descent,11.34,12.99,13.51,15.15,13.51,13.33,13.1,13.64,14.29,12.5,12.5,13.51
The Bastion of Twilight,19.18,20.31,21.82,28.26,22.22,20.37,22.22,22.22,25.49,22.81,20,21.82
Throne of the Four Winds,40.48,42.11,44.12,42.86,46.88,53.57,40.48,40.48,42.86,39.47,47.06,44.12
Firelands,10.87,10.62,8.59,13.27,9.22,8.73,9.66,9.4,11.45,12.14,8.84,8.87
Dragon Soul,21.3,21.88,25.66,38.46,29.38,24.84,23.95,23.12,31.91,28.31,22.86,27.08
Blackrock Caverns,55.56,65.52,36,40.91,32.14,33.33,61.54,60,36,37.93,57.58,36
End Time,8,26.67,7.69,10,8.33,7.14,5,4.76,8.33,14.29,20,7.69
Grim Batol,93.33,100,91.3,71.43,74.19,84,90,90.91,68,70.37,94.29,91.3
Halls of Origination,47.37,68,55.56,73.33,68.75,55.56,52.94,50,61.11,64.71,62.96,55.56
Hour of Twilight,6.25,17.65,7.69,9.09,7.69,8.33,10,9.09,8.33,7.14,18.75,7.69
Lost City of the Tol'vir,72.41,90.48,75,82.35,69.57,59.09,76,70.37,69.57,69.57,65.22,75
The Stonecore,44.83,64,34.78,42.86,42.31,33.33,39.13,39.13,42.31,34.62,66.67,34.78
The Vortex Pinnacle,83.33,88.46,76.19,94.74,94.74,76.19,80.77,80.77,94.74,95.65,87.5,76.19
Throne of the Tides,53.85,61.54,52.94,52.38,52.38,52.94,58.33,58.33,47.83,52.38,61.54,52.94
Well of Eternity,23.53,35.71,27.27,23.08,18.75,23.08,20,20,18.75,25,25,27.27
Zul'Aman,27.5,20.59,18.75,21.21,20,18.18,26.32,26.32,20,21.62,17.65,18.75
Zul'Gurub,36.36,13.16,13.89,12.9,17.65,14.71,26.47,24.32,14.71,11.11,16.22,13.89
Mists of Pandaria,26.27,30.11,29.02,31.78,28.01,28.17,27.14,26.3,28.15,28.05,26.76,27.93
World Bosses,31.06,32.2,32.74,35.26,27.72,30.38,31.6,29.74,28.97,31.25,25.58,32.29
