,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
Classic,66.04,62.61,66.39,69.23,65.58,64.74,64.15,59.59,68.19,64.13,61.49,68.05
Molten Core,81.33,68.75,68.33,75.68,82.69,73.58,74.07,67.69,80,70.91,62.96,63.64
Onyxia's Lair,68.42,65.71,75,70,92.86,72.73,68.75,52.94,69.23,64.29,69.23,66.67
Blackwing Lair,58.49,63.64,60.98,60.87,69.23,60.98,61.29,47.62,58.62,46.15,59.09,54.76
Ruins of Ahn'Qiraj,57.78,24.24,38.46,31.25,20.59,36.59,43.48,37.21,26.32,40,36.36,46.88
Temple of Ahn'Qiraj,20.93,23.61,25.93,40,21.62,20.73,33.33,18.6,33.33,21.33,25,29.17
Blackfathom Deeps,85.19,69.23,95,75,88.89,95,76.47,82.35,76.47,83.33,69.57,95
Blackrock Depths,54.55,43.28,35.09,65.91,59.26,31.75,44.83,42.62,64,60.38,44.26,40.82
Deadmines,58,60,65.85,57.14,47.37,60.53,57.78,58.7,51.16,53.19,52.5,67.5
Dire Maul,85.25,83.93,100,69.57,69.81,100,82.22,82.98,74.07,73.68,80.39,100
Gnomeregan,60,47.06,46.15,72.73,78.57,50,24.24,56.25,71.43,81.25,52.94,46.15
Lower Blackrock Spire,47.06,37.5,54.55,40,40.91,52.17,48,48.15,40.91,40,30,60
Maraudon,72.73,75,100,71.43,72.22,100,66.67,64.71,73.33,78.95,68.18,100
Ragefire Chasm,100,100,100,100,100,100,100,100,100,100,100,100
Razorfen Downs,68.42,85.71,100,100,92.31,92.31,80,70.59,92.31,86.67,69.23,100
Razorfen Kraul,87.88,87.88,91.67,88.24,86.96,95.45,85.71,86.36,90.48,88.46,89.29,91.67
Scarlet Halls,85.71,84.62,77.78,80,81.82,71.43,80,81.82,80,84.62,84.62,75
Scarlet Monastery,73.91,69.23,85.71,73.33,63.16,78.57,64.71,66.67,66.67,68.42,64,85.71
Scholomance,90.91,88.46,80,88,84.62,80,93.33,90.91,84.62,88,88.46,83.33
Shadowfang Keep,85.11,87.18,90.32,85.19,82.86,90.62,86.84,80.95,84.38,81.82,85,87.1
Stratholme,62.5,68.09,67.31,76.19,77.55,68.52,61.7,60,80.85,78,70.21,71.43
The Stockade,100,100,100,100,100,100,100,100,100,100,100,100
The Temple of Atal'hakkar,60,64,80,92.31,73.33,73.68,63.16,60,83.33,83.33,50,80
Uldaman,38.71,25.93,38.89,31.25,40.91,50,40.91,41.67,33.33,33.33,44.44,38.89
Wailing Caverns,100,100,100,100,100,100,100,100,100,100,100,100
Zul'Farrak,96.43,87.5,100,84.62,83.33,100,95,95.24,85,87.5,88.89,100
Burning Crusade,46.52,47.36,35.53,40.81,38.27,32.84,44.9,44.83,41.06,39.17,42.24,38.43
World Bosses,40,33.33,37.5,40,50,42.86,42.86,42.86,50,28.57,42.86,37.5
Karazhan,44,37.88,28.77,38.46,34.43,28.38,44.07,40,36.21,34.38,33.33,31.82
Gruul's Lair,50,55.56,42.86,50,37.5,33.33,71.43,50,50,37.5,50,42.86
Magtheridon's Lair,66.67,71.43,57.14,75,57.14,57.14,66.67,62.5,66.67,60,85.71,57.14
Serpentshrine Cavern,15.62,25.81,7.41,11.76,8.7,7.41,13.64,12,10,8.33,12,8.7
The Eye,25,30.56,20.69,31.58,25,20,30,27.27,27.27,25,22.22,24
The Battle for Mount Hyjal,22.92,28.57,16.67,33.33,15.91,12.5,11.48,15.91,28.57,22.22,18.75,17.65
Black Temple,28.17,52.54,27.08,30,26.67,24,27.45,26.92,26.09,28.85,32.65,31.71
Sunwell Plateau,15.62,29.31,14.89,19.44,11.54,10.42,15.56,15.56,16.28,16.98,27.08,15.91
Auchenai Crypts,44,37.5,39.13,33.33,22.73,30.43,52.63,50,26.92,30.43,29.17,40.91
Hellfire Ramparts,100,60,81.82,73.91,82.86,81.82,100,100,80.65,79.31,58.97,81.82
Magisters' Terrace,33.33,44.44,33.33,32.43,35.9,33.33,32,30.77,37.21,32.56,43.9,39.02
Mana-Tombs,76.74,57.89,64.52,78.57,86.67,59.26,88.46,75.76,86.67,75,64.71,66.67
Old Hillsbrad Foothills,24.32,40.54,30,19.35,21.62,25,20,19.44,17.14,20.51,36.59,31.03
Sethekk Halls,53.85,44,30.43,31.25,36.36,28,50,54.55,38.1,25,37.5,30.43
Shadow Labyrinth,81.25,80,64.52,66.67,66.67,60.61,82.61,77.78,66.67,69.57,64,68.97
The Arcatraz,41.94,53.85,23.33,45,42.31,23.33,27.27,26.09,45,50,46.15,26.92
The Black Morass,38.46,62.96,36.36,30,30,33.33,30,30,33.33,36.36,66.67,36.36
The Blood Furnace,93.75,72.73,36.36,35.71,33.33,36.36,92.86,92.86,42.86,50,66.67,36.36
The Botanica,84.21,87.5,55.56,60,64.29,52.94,100,91.67,61.54,66.67,80,62.5
The Mechanar,64.29,61.54,52.17,46.15,65,55,64.29,62.07,59.26,51.85,68.42,60
The Shattered Halls,55.17,84.62,53.85,72.22,62.5,50,38.1,36.36,65,70.83,71.43,60.87
The Slave Pens,48.57,31.43,35.29,48.15,35.48,29.41,58.62,58.62,41.94,35.14,27.27,35.29
The Steamvault,30,50,19.05,50,42.86,19.05,23.53,26.67,42.86,50,50,22.22
The Underbog,33.33,18.75,21.43,38.46,31.25,21.43,38.46,42.86,35.71,33.33,23.53,21.43
Wrath of the Lich King,43.48,45.07,44.03,51.3,43.3,42.78,45.38,44.69,46.6,43.76,43.07,44.37
Vault of Archavon,14.19,10.96,10.08,20.75,14.54,8.88,11.28,13.61,11.21,9.52,7.49,8.59
Naxxramas,43.73,46.88,44.26,55.25,49.51,44.19,48.37,48.27,49.83,47.54,45.4,44.26
