,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
Classic,58.51,55.85,53.8,54.92,56.54,53.14,53.97,52.67,55.8,54.97,53.24,53.67
Molten Core,83.1,73.33,76.79,75.76,70.59,76.92,80,77.05,77.78,68.63,64.15,68.63
Onyxia's Lair,68.42,66.67,75,70,92.86,72.73,68.75,52.94,69.23,64.29,69.23,66.67
Blackwing Lair,54.72,61.36,56.1,52.17,56.41,58.54,54.84,42.86,51.72,41.03,59.09,48.78
Ruins of Ahn'Qiraj,44.12,31.82,35.71,20,21.74,33.33,40.91,34.38,16.67,29.17,27.27,42.86
Temple of Ahn'Qiraj,20.31,24,25.42,25,19.23,23.33,25.53,20.31,21.28,18.87,26,28
Blackfathom Deeps,74.07,65.38,71.43,75,83.33,71.43,64.71,70.59,76.47,78.95,65.22,71.43
Blackrock Depths,52.73,42.22,36.59,33.33,35.21,33.33,41.89,42.31,35.29,33.8,40.74,38.36
Deadmines,50,52.94,68.42,53.33,47.06,70.59,52.63,50,50,50,47.06,72.22
Dire Maul,76.71,73.53,61.11,62.5,62.71,63.46,71.7,72.73,65.62,67.65,71.19,61.54
Gnomeregan,50,43.75,33.33,33.33,41.67,38.46,18.75,42.86,41.67,57.14,40,33.33
Lower Blackrock Spire,44.12,34.38,45.45,40,36.36,43.48,48,48.15,36.36,40,26.67,50
Maraudon,59.09,55,40,57.14,61.11,46.67,53.33,52.94,60,63.16,54.55,40
Ragefire Chasm,100,100,100,100,100,100,100,100,100,100,100,100
Razorfen Downs,63.16,78.57,61.54,91.67,84.62,53.85,73.33,64.71,84.62,80,69.23,58.33
Razorfen Kraul,48.48,48.48,50,64.71,65.22,54.55,42.86,40.91,61.9,61.54,50,50
Scarlet Halls,76.92,66.67,75,66.67,80,66.67,77.78,70,66.67,75,58.33,71.43
Scarlet Monastery,63.64,53.85,71.43,64.29,64.71,69.23,56.25,52.94,63.16,64.71,45.83,71.43
Scholomance,41.67,40,70,54.55,54.55,70,45.45,46.15,54.55,54.55,40,66.67
Shadowfang Keep,59.26,65.22,60,66.67,63.16,56.25,59.09,56.52,63.16,57.89,56.52,60
Stratholme,50,55.32,44.23,50,59.18,48.15,44.68,48,57.45,56,57.45,42.86
